ID,STRATACD,ECOSECTION,PHOTOYEAR,NUMCOND,PNTCNT,TREE,SHRUB,TREESHRUB,FOREST,NONFOREST,VEGETATED,NONVEGETATED,DEAD,ASPEN,PINYON,PJSPP,SAGE,SPRUCEFIR,INSDIS_DROUGHT,FIRE,EVI2005097,EVI2005177,EVI2005273,NDV2005097,NDV2005177,NDV2005273,NIR2005097,NIR2005177,NIR2005273,RED2005097,RED2005177,RED2005273,NLCD01_250,ELEV250
159,2,341F,2005,1,49,29,0,29,29,71,33,67,0,0,22,29,0,0,0,0,1723,2312,2085,3006,3447,3965,2022,2466,2011,1090,1205,867,42,2310.00
160,2,341F,2005,1,49,29,4,33,29,71,39,61,0,0,0,29,0,0,0,0,1610,1887,1666,2661,3733,3389,2479,1841,1982,1465,825,1000,42,2284.00
161,2,341F,2005,1,49,29,6,35,29,71,35,65,0,0,2,29,4,0,0,0,1542,1529,1428,2549,2822,2837,2331,1884,1877,1385,1053,1052,42,2051.00
162,2,341F,2005,1,49,29,10,39,29,71,41,59,0,0,22,27,10,0,0,0,1487,1948,1619,2614,3393,3773,2118,1825,1504,1247,902,682,42,2240.00
163,2,341F,2005,1,49,29,12,41,29,71,41,59,0,0,2,29,12,0,0,0,1738,2053,1879,3103,3281,3841,2158,2462,1824,1136,1245,811,42,1753.00
164,2,341F,2005,1,49,29,16,45,29,71,45,55,2,0,16,27,10,0,0,0,1734,2097,1814,3249,3283,3898,2033,2304,1757,1036,1206,776,42,1908.00
165,2,341F,2005,1,49,31,4,35,31,69,35,65,2,0,2,29,0,0,0,0,1423,1500,1396,2648,2684,2733,1980,2029,1937,1150,1133,1107,42,1828.00
166,2,341F,2005,1,49,31,4,35,31,69,41,59,0,0,2,31,2,0,0,0,1448,1859,1495,2764,2878,3340,1858,2191,1671,1055,1209,840,42,2276.00
167,2,341F,2005,1,49,31,6,37,31,69,39,61,4,0,4,27,0,0,0,0,1598,1925,2174,3268,3442,4400,1744,1869,1917,886,912,752,42,1951.00
168,2,341F,2005,1,49,31,8,39,31,69,39,61,0,0,0,31,4,0,0,0,1037,1306,1455,2193,2375,3285,1580,2016,1546,1012,1233,781,50,2014.00
169,2,341F,2005,1,49,31,8,39,31,69,45,55,0,0,0,31,8,0,0,0,1578,1935,1666,2930,3047,3618,1997,2556,1662,1094,1359,781,42,1824.00
170,2,341F,2005,1,49,31,8,39,31,69,47,53,0,0,12,31,0,0,0,0,1456,1927,1487,2926,3610,3828,1805,2212,1395,984,1056,630,42,2059.00
171,2,341F,2005,1,49,31,12,43,31,69,43,57,0,0,22,31,12,0,0,0,1561,1560,1605,3333,3123,3399,1596,1938,1696,798,1036,836,42,2285.00
172,2,341F,2005,1,49,31,12,43,31,69,43,57,2,0,20,29,6,0,0,0,1381,1506,1501,2602,3046,3321,1852,1898,1548,1088,1018,778,42,2139.00
173,2,341F,2005,1,49,31,14,45,31,69,45,55,0,0,27,31,2,0,0,0,1517,1809,1943,2738,3110,3774,2100,2162,1922,1199,1134,869,42,2303.00
174,2,341F,2005,1,49,33,0,33,33,67,35,65,0,0,12,33,0,0,0,0,1630,1816,1646,3319,3365,4121,1819,2253,1433,913,1124,598,42,2051.00
175,2,341F,2005,1,49,33,0,33,33,67,35,65,0,0,16,33,0,0,0,0,1419,1502,1661,2395,2378,2603,2309,2817,2566,1416,1784,1507,42,2103.00
176,2,341F,2005,1,49,33,2,35,33,67,35,65,2,0,18,31,0,0,0,0,1530,2485,1662,2910,3655,4176,1929,2314,1428,1060,1040,588,42,2062.00
177,2,341F,2005,1,49,33,2,35,33,67,39,61,2,0,8,31,0,0,0,0,1117,1478,1465,2053,2816,3063,2109,1832,1695,1428,1022,903,42,2314.00
178,2,341F,2005,1,49,33,4,37,33,67,39,61,2,0,16,31,0,0,0,0,1548,2185,1786,3012,4042,4695,1866,2403,1422,1003,1008,513,42,2189.00
179,2,341F,2005,1,49,33,6,39,33,67,39,61,0,0,24,31,6,0,0,0,1880,2228,1596,2966,3446,4451,2472,2688,1250,1340,1310,482,42,2251.00
180,2,341F,2005,1,49,33,6,39,33,67,45,55,0,0,0,33,2,0,0,0,1198,2154,1844,2085,3119,3211,2136,2824,2228,1403,1499,1146,42,2201.00
181,2,341F,2005,1,49,33,10,43,33,67,49,51,0,0,29,31,6,0,0,0,1554,2026,1849,2225,3853,4311,2531,1936,1603,1620,841,638,42,2380.00
182,2,341F,2005,1,49,33,14,47,33,67,49,51,4,0,0,29,12,0,0,0,1529,1977,1508,2755,3221,3697,2041,2414,1457,1160,1219,671,42,1837.00
183,2,341F,2005,1,49,33,16,49,33,67,49,51,0,0,0,33,0,0,0,0,1114,1237,1322,2054,2152,2335,1938,2380,2115,1277,1554,1315,50,1955.00
184,2,341F,2005,1,49,35,0,35,35,65,35,65,0,0,35,35,0,0,0,0,1359,1527,1502,2553,2567,2888,1828,2077,2033,1085,1150,1129,42,2134.00
185,2,341F,2005,1,49,35,0,35,35,65,37,63,2,0,31,33,0,0,0,0,1492,1859,1654,2774,2832,3640,1979,2406,1599,1119,1332,746,42,2217.00
186,2,341F,2005,1,49,35,2,37,35,65,37,63,0,0,31,35,2,0,0,0,1751,1792,1737,3133,3762,3800,2051,1652,1782,1072,682,819,42,2256.00
187,2,341F,2005,1,49,35,6,41,35,65,41,59,0,0,0,35,4,0,0,0,1196,1912,2006,2722,3100,3815,1481,1839,1882,848,968,846,42,2336.00
188,2,341F,2005,1,49,35,8,43,35,65,53,47,4,0,8,31,0,0,0,0,1947,2313,2127,3490,3839,4550,2076,2237,1756,1004,1003,659,42,2004.00
189,2,341F,2005,1,49,35,14,49,35,65,51,49,0,0,0,35,14,0,0,0,1521,1752,1675,3007,3009,3396,1886,2664,1830,1022,1448,903,42,1716.00
190,2,341F,2005,1,49,37,0,37,37,63,37,63,0,0,10,37,0,0,0,0,1409,1643,1840,2504,3195,3290,1921,1856,2046,1159,947,1032,42,2263.00
191,2,341F,2005,1,49,37,0,37,37,63,37,63,0,0,16,37,0,0,0,0,1539,1755,1579,2938,3323,3414,1991,1983,1691,1090,972,832,42,1938.00
192,2,341F,2005,1,49,37,6,43,37,63,43,57,4,0,18,33,6,0,0,0,1449,1621,1485,2924,3179,3712,1821,2224,1385,998,1149,635,42,1852.00
193,2,341F,2005,1,49,37,8,45,37,63,47,53,0,0,8,37,4,0,0,0,1119,1829,1787,2295,3304,3726,1622,2183,1857,1015,1110,864,42,2158.00
194,2,341F,2005,1,49,37,8,45,37,63,47,53,2,0,29,35,0,0,0,0,1819,2115,2074,2965,3967,4191,2316,2187,1921,1255,952,789,42,2174.00
195,2,341F,2005,1,49,37,8,45,37,63,49,51,2,0,8,35,0,0,0,0,1795,2186,1852,3560,3726,4376,1911,2339,1587,910,1076,621,42,1938.00
196,2,341F,2005,1,49,37,14,51,37,63,51,49,2,0,0,35,2,0,0,0,1829,2076,1955,3171,3433,4060,2206,2427,1833,1143,1189,773,42,1862.00
197,2,341F,2005,1,49,37,14,51,37,63,53,47,0,0,0,37,2,0,0,0,1545,2147,1871,3499,3603,3881,1587,2481,1850,764,1167,821,42,1970.00
198,2,341F,2005,1,49,39,0,39,39,61,43,57,0,0,29,39,0,0,0,0,1949,1831,1726,3003,3350,4425,2093,2129,1453,1127,1049,563,42,2310.00
199,2,341F,2005,1,49,39,2,41,39,61,43,57,0,0,16,39,0,0,0,0,1636,2120,1555,3102,3421,3887,1883,2523,1409,991,1256,623,42,1942.00
200,2,341F,2005,1,49,39,2,41,39,61,43,57,0,0,20,39,2,0,0,0,1371,1679,1887,2171,3345,3812,2116,1862,1759,1374,947,794,42,2317.00
201,2,341F,2005,1,49,39,2,41,39,61,43,57,0,0,27,39,2,0,0,0,1657,1845,1659,2798,3017,3291,2307,2227,1993,1297,1197,1012,42,2194.00
202,2,341F,2005,1,49,39,4,43,39,61,43,57,0,0,37,39,2,0,0,0,1380,1702,1713,2215,4002,4162,1991,1539,1440,1274,671,595,42,2186.00
203,2,341F,2005,1,49,39,4,43,39,61,43,57,2,0,31,37,0,0,0,0,1582,2147,1911,2949,4056,4316,1949,2411,1631,1077,1019,657,42,2485.00
204,2,341F,2005,1,49,39,12,51,39,61,51,49,2,0,29,37,0,0,0,0,1746,1952,1582,3042,3118,3570,2234,2639,1576,1192,1391,747,42,1801.00
205,2,341F,2005,1,49,39,16,55,39,61,61,39,2,0,0,37,8,0,0,0,1503,1816,1535,2951,3220,3641,1890,1643,1540,1033,792,721,42,1693.00
206,2,341F,2005,1,49,41,0,41,41,59,41,59,0,0,16,41,0,0,0,0,1119,2258,1755,1538,3462,3893,2783,2605,1635,2048,1274,721,42,2216.00
207,2,341F,2005,1,49,41,0,41,41,59,43,57,2,0,33,39,0,0,0,0,1544,1408,1800,2837,3114,3386,2013,1459,2045,1124,731,1013,42,2249.00
208,2,341F,2005,1,49,41,2,43,41,59,43,57,8,0,4,33,0,0,0,0,1524,1890,1743,2979,3212,3681,1945,2140,1787,1056,1087,827,42,1802.00
209,2,341F,2005,1,49,41,2,43,41,59,45,55,0,0,0,41,0,0,0,0,1413,1738,1529,2370,3526,4054,2059,1915,1322,1271,920,560,42,2247.00
210,2,341F,2005,1,49,41,2,43,41,59,51,49,0,0,22,41,2,0,0,0,1972,1747,1729,3484,3603,4156,2147,1641,1533,1041,724,634,42,2108.00
211,2,341F,2005,1,49,41,2,43,41,59,55,45,2,0,22,39,0,0,0,0,1769,1772,1812,3120,3631,4247,2200,1862,1542,1157,864,624,42,2132.00
212,2,341F,2005,1,49,41,6,47,41,59,51,49,2,0,29,39,6,0,0,0,1493,1655,1675,2721,3339,3255,2107,1889,1945,1204,950,988,42,2136.00
213,2,341F,2005,1,49,41,8,49,41,59,57,43,0,0,2,41,4,0,0,0,1199,2246,1614,2053,3523,3675,2111,2216,1544,1395,1059,719,42,2284.00
214,2,341F,2005,1,49,41,14,55,41,59,67,33,0,0,0,41,0,0,0,0,1536,2665,2057,2535,3670,4346,2129,2237,1712,1278,1004,684,42,2231.00
215,2,341F,2005,1,49,43,0,43,43,57,43,57,0,0,33,41,0,0,0,0,1734,2270,1719,2883,3416,3977,2168,2230,1464,1195,1090,630,42,2258.00
216,2,341F,2005,1,49,43,0,43,43,57,43,57,4,0,14,39,0,0,0,0,1937,2288,2069,3812,4250,4754,1884,2318,1659,843,935,595,42,2105.00
217,2,341F,2005,1,49,43,4,47,43,57,49,51,0,0,18,43,0,0,0,0,2005,1891,2059,3823,4231,4648,1965,1736,1660,879,704,605,42,1686.00
218,2,341F,2005,1,49,43,4,47,43,57,49,51,4,0,35,39,2,0,0,0,1464,2352,2133,2557,3599,3924,1963,2563,2172,1195,1214,959,42,2453.00
219,2,341F,2005,1,49,43,4,47,43,57,78,22,4,0,33,39,0,0,0,0,1556,1587,1994,2913,4077,4252,1731,1512,1708,952,636,695,42,2263.00
220,2,341F,2005,1,49,45,2,47,45,55,49,51,0,0,29,45,2,0,0,0,1640,1806,2197,3144,3916,4186,1952,1597,2014,1024,693,830,42,2216.00
221,2,341F,2005,1,49,45,2,47,45,55,51,49,0,0,16,45,0,0,0,0,1430,1565,1551,2564,2860,2859,2139,2085,2055,1266,1150,1142,42,2058.00
222,2,341F,2005,1,49,45,2,47,45,55,51,49,4,0,22,39,0,0,0,0,2015,1943,1936,3483,3669,4344,2334,2058,1674,1127,947,661,42,1815.00
223,2,341F,2005,1,49,45,4,49,45,55,53,47,2,0,31,43,0,0,0,0,1855,1792,1799,3253,3672,4068,2223,1819,1694,1131,827,716,42,1809.00
224,2,341F,2005,1,49,45,6,51,45,55,53,47,4,0,33,41,0,0,0,0,1457,2046,1910,2459,3669,4334,2463,1915,1564,1536,823,604,42,2331.00
225,2,341F,2005,1,49,45,8,53,45,55,53,47,0,0,31,45,8,0,0,0,2248,1820,1863,3540,3758,4134,2632,1917,1715,1258,899,712,42,1710.00
226,2,341F,2005,1,49,45,10,55,45,55,59,41,2,0,2,43,4,0,0,0,2065,1033,1337,3748,2757,3073,2131,1524,1510,968,863,797,42,1394.00
227,2,341F,2005,1,49,47,0,47,47,53,47,53,2,0,41,45,0,0,0,0,1351,1833,1352,2925,2595,3018,1672,2576,1687,915,1453,917,42,1971.00
228,2,341F,2005,1,49,47,0,47,47,53,49,51,0,0,33,47,0,0,0,0,1289,1530,1598,2669,3095,3251,1616,1783,1750,936,957,895,42,2194.00
229,2,341F,2005,1,49,47,12,59,47,53,59,41,2,0,14,45,2,0,0,0,1578,1839,1994,3187,3861,3967,1865,2205,1961,957,1084,845,42,1660.00
230,2,341F,2005,1,49,49,2,51,49,51,51,49,0,0,37,37,2,0,0,0,1508,2438,2062,2804,3862,4602,1862,2400,1674,1049,1029,627,42,2454.00
231,2,341F,2005,1,49,49,6,55,49,51,57,43,0,0,2,49,0,0,0,0,1998,2418,2237,3495,3780,4312,2246,2731,2046,1083,1221,813,42,2002.00
232,2,341F,2005,1,49,49,8,57,49,51,59,41,2,0,0,47,2,0,0,0,1813,2186,1745,3188,3400,3782,2194,2598,1739,1133,1279,787,42,1882.00
233,2,341F,2005,1,49,51,2,53,51,49,53,47,4,0,10,47,2,0,0,0,1624,2140,1641,3142,3556,4001,1929,2341,1492,1009,1116,640,42,1915.00
234,2,341F,2005,1,49,51,4,55,51,49,57,43,0,0,16,51,0,0,0,0,1976,1842,2044,3492,3697,4242,2173,1747,1871,1048,787,759,42,1866.00
235,2,341F,2005,1,49,51,6,57,51,49,63,37,4,0,16,47,4,0,0,0,2071,2267,2045,3596,3696,4388,2263,2544,1799,1066,1131,703,42,1920.00
236,2,341F,2005,1,49,51,8,59,51,49,59,41,0,0,10,51,6,0,0,0,1261,1735,1807,2949,3195,3269,1448,2097,2104,789,1077,1068,42,2262.00
237,2,341F,2005,1,49,53,0,53,53,47,63,37,0,4,6,47,0,0,0,0,4946,2219,2067,2949,3986,4567,1960,2054,1671,1073,861,623,42,2500.00
238,2,341F,2005,1,49,53,2,55,53,47,59,41,2,0,14,47,0,0,0,0,1898,1900,1602,2246,4454,4642,2069,1780,1195,1312,697,439,42,2487.00
239,2,341F,2005,1,49,55,0,55,55,45,57,43,0,0,43,55,0,0,0,0,1760,2321,1880,3953,3867,4990,1636,1970,1331,711,829,446,42,1939.00
240,2,341F,2005,1,49,55,12,67,55,45,73,27,2,0,16,37,0,0,0,0,1565,2433,1925,2692,4123,4467,2076,2219,1624,1202,938,623,42,2384.00
241,2,341F,2005,1,49,57,0,57,57,43,57,43,0,0,41,45,0,0,0,0,1714,2515,2329,2651,4782,4729,1923,2329,1963,1117,826,704,42,2547.00
242,2,341F,2005,1,49,59,4,63,59,41,63,37,0,0,43,43,2,0,0,0,1622,2631,2051,2498,4466,5166,2299,2241,1425,1387,869,456,42,2343.00
243,2,341F,2005,1,49,61,2,63,61,39,63,37,8,0,29,53,0,0,0,0,2024,2288,1992,3921,4297,4816,1932,2048,1564,846,859,549,42,1907.00
244,2,341F,2005,1,49,61,6,67,61,39,67,33,0,0,43,61,0,0,0,0,1898,1891,1777,3288,3600,4061,2233,1932,1622,1128,910,685,42,1835.00
245,2,341F,2005,1,49,63,0,63,63,37,65,35,8,0,41,51,0,0,0,0,1560,1903,1584,2994,4278,4471,1931,1828,1197,1068,744,470,42,2337.00
246,2,341F,2005,1,49,63,4,67,63,37,69,31,0,0,0,63,0,0,0,0,1749,2356,1821,3287,3728,3812,2083,2690,1797,1051,1261,805,42,2186.00
247,2,341F,2005,1,49,65,2,67,65,35,67,33,0,0,4,65,2,0,0,0,1508,1887,1901,2735,3399,3817,2021,2141,1779,1152,1047,789,42,2162.00
248,2,341F,2005,1,49,71,0,71,71,29,71,29,12,0,37,57,0,0,0,0,2104,1990,2167,4340,4775,5311,1846,1523,1601,732,540,499,42,1990.00
249,2,341F,2005,1,49,71,4,76,71,29,76,24,0,0,37,71,0,0,0,0,2074,2124,1969,3948,4427,4887,1985,2066,1496,864,827,518,42,1837.00
250,2,342B,2005,1,49,0,65,65,0,100,67,33,0,0,0,0,43,0,0,0,1330,2056,1039,2537,4054,2582,1836,1761,1414,1094,744,838,50,1965.00
251,2,342B,2005,1,49,12,18,31,12,88,41,59,0,0,0,12,14,0,0,0,1423,1714,1396,3108,4138,3700,1598,1629,1364,840,677,627,42,1885.00
252,2,342B,2005,1,49,14,12,27,14,86,31,69,0,0,0,14,6,0,0,0,965,1758,1324,2624,3111,2679,1173,2186,1849,685,1149,1070,50,2029.00
253,2,342B,2005,1,49,16,33,49,16,84,65,35,0,0,0,16,2,0,0,0,1661,1410,1335,3060,3146,3008,2021,1661,1697,1074,863,912,50,1692.00
254,2,342B,2005,1,49,22,33,55,22,78,59,41,0,0,0,22,0,0,0,0,1466,2081,1764,3558,4131,3683,1430,1840,1881,679,767,868,50,1850.00
255,2,342B,2005,1,49,27,18,45,27,73,55,45,2,0,0,24,6,0,0,0,1247,1793,1666,3333,4222,4076,1267,1528,1517,634,622,639,50,1796.00
256,2,342J,2004,1,49,18,6,24,18,82,39,61,0,0,0,18,6,0,0,0,1346,1624,1558,2909,3416,3538,1640,1655,1660,901,812,793,42,1721.00
257,2,342J,2004,1,49,20,14,35,20,80,67,33,0,0,0,20,10,0,0,0,1572,1802,1699,2988,4326,3789,1891,1790,1688,1023,709,762,42,1922.00
258,2,342J,2004,1,49,24,8,33,24,76,73,27,0,0,0,24,2,0,0,0,1591,1821,1481,3588,4315,3681,1605,1558,1498,758,618,692,42,1832.00
259,2,342J,2004,1,49,27,8,35,27,73,67,33,0,0,0,27,8,0,0,0,1493,1507,1727,2857,3176,3719,1878,1786,1758,1043,925,810,50,1833.00
260,2,342J,2004,1,49,33,8,41,33,67,59,41,0,0,0,33,6,0,0,0,1140,1594,1397,1889,3654,3210,2774,1637,1625,2039,760,837,42,1915.00
261,2,M261E,2005,1,49,31,22,53,31,69,63,37,0,0,0,0,0,0,0,0,3029,2840,2716,1720,5592,6229,4427,1932,1800,3135,559,422,42,2473.00
262,2,M341A,2004,1,37,57,5,62,57,43,76,24,0,0,49,57,5,0,0,0,1099,2143,1790,1745,3543,3732,2264,2517,1714,1602,1203,786,42,2195.00
263,2,M341A,2004,1,39,54,8,62,54,46,85,15,0,0,44,49,5,0,0,0,1548,2192,1974,2550,4544,4986,2154,1779,1448,1299,668,487,42,2254.00
264,2,M341A,2004,1,40,43,13,55,43,58,68,33,0,0,13,23,0,0,0,0,2148,2583,1478,2026,3712,4042,3167,2649,1246,2097,1215,525,42,2515.00
265,2,M341A,2004,1,42,83,0,83,83,17,86,14,2,0,62,81,0,0,0,0,1344,2467,1792,2975,3895,4185,1519,2397,1537,825,1053,632,42,2349.00
266,2,M341A,2004,1,43,26,9,35,26,74,44,56,9,0,7,16,2,0,0,0,1602,1683,1343,2535,2644,2992,2260,2553,1504,1363,1491,812,50,2082.00
267,2,M341A,2004,1,43,44,2,47,44,56,70,30,0,0,35,44,2,0,0,0,1594,2111,1587,3514,3598,3926,1633,2320,1443,784,1091,630,42,2094.00
268,2,M341A,2004,1,43,47,2,49,47,53,79,21,0,0,40,44,2,0,0,0,1275,2044,1649,2262,3316,3828,1991,2482,1590,1261,1246,711,42,2292.00
269,2,M341A,2004,1,43,74,5,79,74,26,79,21,5,0,65,70,5,0,0,0,1569,2110,1834,2847,4043,4518,2026,1929,1416,1143,825,539,42,2200.00
270,2,M341A,2004,1,44,36,16,52,36,64,68,32,0,0,30,32,16,0,0,0,1476,1855,1843,3057,3674,3678,1790,1758,1943,953,815,903,42,2131.00
271,2,M341A,2004,1,45,0,87,87,0,100,93,7,0,0,0,0,38,0,0,0,78,2878,1540,90,4810,3135,3325,2135,1919,3275,746,1003,42,2353.00
272,2,M341A,2004,1,45,24,20,44,24,76,53,47,0,0,13,24,20,0,0,0,1251,1813,1994,2941,3143,3232,1477,2140,2596,805,1104,1333,42,2246.00
273,2,M341A,2004,1,45,56,0,56,56,44,76,24,0,0,40,47,0,0,0,0,1715,2323,2088,3265,4169,4527,1938,2252,1874,975,926,707,42,2190.00
274,2,M341A,2004,1,46,11,20,30,11,89,54,46,0,0,4,11,17,0,0,0,1184,1634,1532,2653,3171,3230,1497,1946,1739,870,1012,890,42,1972.00
275,2,M341A,2004,1,46,17,28,46,17,83,72,28,0,0,2,17,24,0,0,0,1306,1689,1402,2205,2413,2343,2244,3183,2422,1442,1943,1502,50,1925.00
276,2,M341A,2004,1,46,26,4,30,26,74,63,37,0,0,2,24,4,0,0,0,1342,1568,1645,2587,3122,3566,1887,1810,1672,1113,949,794,42,2177.00
277,2,M341A,2004,1,46,26,15,41,26,74,70,30,2,0,2,24,15,0,0,0,1503,1675,1855,2492,2802,3242,2351,2300,2248,1411,1295,1147,42,1969.00
278,2,M341A,2004,1,46,30,13,43,30,70,70,30,0,0,9,17,0,0,0,0,1535,2843,1929,1831,4183,4101,2266,2463,1789,1596,1005,755,42,2499.00
279,2,M341A,2004,1,46,43,4,48,43,57,63,37,0,0,43,43,4,0,0,0,1151,1948,1478,3105,3345,2947,1208,1836,1925,636,914,1054,42,2112.00
280,2,M341A,2004,1,46,48,2,50,48,52,85,15,0,0,28,46,2,0,0,0,1742,1708,1786,3265,3417,3952,2001,2392,1683,1017,1181,739,42,2261.00
281,2,M341A,2004,1,46,52,11,63,52,48,72,28,2,0,24,50,11,0,0,0,1685,1799,1836,3204,3466,3892,1902,1870,1631,982,915,718,42,2154.00
282,2,M341A,2004,1,47,26,0,26,26,74,38,62,4,0,0,15,0,0,0,0,1488,2184,2171,3533,3389,3681,1474,2497,2417,706,1232,1130,42,2307.00
283,2,M341A,2004,1,47,26,6,32,26,74,38,62,0,0,13,23,2,0,0,0,1650,1766,1678,3114,3119,3464,2080,1994,1743,1095,1044,848,42,2137.00
284,2,M341A,2004,1,47,26,21,47,26,74,62,38,0,0,19,23,13,0,0,0,1493,2589,1917,1940,4300,4242,2060,2521,1680,1416,1005,683,42,2492.00
285,2,M341A,2004,1,47,26,26,51,26,74,68,32,0,0,2,23,23,0,0,0,1343,1820,1756,2093,3839,4120,1992,2110,1524,1316,940,635,42,2319.00
286,2,M341A,2004,1,47,30,21,51,30,70,68,32,2,0,9,28,21,0,0,0,949,2423,1479,1219,3364,2862,2476,2751,2017,1960,1365,1123,42,2446.00
287,2,M341A,2004,1,47,36,9,45,36,64,74,26,0,0,15,36,6,0,0,0,1218,1954,1558,2812,3190,3597,1473,2467,1517,827,1275,715,42,2094.00
288,2,M341A,2004,1,47,38,6,45,38,62,64,36,2,0,30,36,4,0,0,0,1443,1877,1769,3043,4022,4379,1629,1589,1439,869,682,563,42,2271.00
289,2,M341A,2004,1,47,45,15,60,45,55,87,13,0,0,38,45,0,0,0,0,1592,1821,1784,3136,3959,4186,1834,1752,1534,958,761,630,42,2075.00
290,2,M341A,2004,1,47,49,0,49,49,51,55,45,2,0,34,47,0,0,0,0,1676,2031,2165,3003,3459,3723,1951,1922,2232,1068,936,1025,42,2389.00
291,2,M341A,2004,1,47,53,11,64,53,47,70,30,0,0,47,53,4,0,0,0,1530,1819,1736,3346,3833,4254,1625,1784,1485,810,806,600,42,2238.00
292,2,M341A,2004,1,47,55,0,55,55,45,77,23,0,0,43,55,0,0,0,0,2132,2059,1976,3575,4874,5603,2194,1607,1281,1041,555,363,42,2230.00
293,2,M341A,2004,1,48,13,48,60,13,88,81,19,2,0,10,10,21,0,0,0,1810,2153,1683,1039,4350,3536,2708,1997,1777,2312,786,849,50,2433.00
294,2,M341A,2004,1,48,21,15,35,21,79,58,42,0,0,15,19,10,0,0,0,1561,1909,1554,2835,3276,3397,2024,2511,1633,1130,1272,809,42,2010.00
295,2,M341A,2004,1,48,31,0,31,31,69,54,46,2,0,25,29,0,0,0,0,1898,1745,1843,3304,3091,3491,2130,2204,1982,1087,1176,969,42,2412.00
296,2,M341A,2004,1,48,33,10,44,33,67,60,40,4,0,23,29,2,0,0,0,1190,1598,1196,2951,2884,2965,1313,2092,1477,715,1156,832,42,2146.00
297,2,M341A,2004,1,48,35,13,48,35,65,54,46,0,0,21,35,13,0,0,0,1168,1843,1566,2496,3198,2553,1642,2133,2540,986,1100,1508,42,1968.00
298,2,M341A,2004,1,48,35,15,50,35,65,71,29,0,0,21,35,13,0,0,0,1812,1722,1946,3146,3083,3448,2181,2291,2152,1134,1212,1048,42,2056.00
299,2,M341A,2004,1,48,38,8,46,38,63,73,27,0,0,17,31,0,0,0,0,2458,2360,2105,1528,4530,4497,2909,2051,1743,2175,770,664,42,2420.00
300,2,M341A,2004,1,48,38,15,52,38,63,79,21,0,0,27,38,13,0,0,0,936,2392,1852,1157,3783,3958,2477,2569,1689,2039,1156,731,42,2353.00
301,2,M341A,2004,1,48,40,2,42,40,60,77,23,0,0,23,40,2,0,0,0,1577,2398,2008,2850,4089,5230,2090,2348,1441,1168,985,453,42,2212.00
302,2,M341A,2004,1,48,42,8,50,42,58,73,27,0,0,29,40,4,0,0,0,1311,2112,2027,2274,3617,3941,2088,2208,1952,1343,1032,857,42,2273.00
303,2,M341A,2004,1,48,42,13,54,42,58,71,29,2,0,27,38,2,0,0,0,1272,1657,1783,2590,3700,4156,1795,1720,1545,1062,794,639,42,2124.00
304,2,M341A,2004,1,48,46,0,46,46,54,56,44,0,0,13,42,0,0,0,0,1860,1590,1591,3117,2888,3040,2261,1952,1968,1186,1078,1050,42,2112.00
305,2,M341A,2004,1,48,46,0,46,46,54,71,29,6,0,31,40,0,0,0,0,1386,2332,2107,2992,3401,3951,1642,2764,1958,887,1361,853,42,2294.00
306,2,M341A,2004,1,48,46,0,46,46,54,90,10,0,0,0,10,0,0,0,0,1808,2239,1914,3372,3638,4265,1753,1738,1707,872,815,687,42,2514.00
307,2,M341A,2004,1,48,48,17,65,48,52,92,8,2,0,4,27,6,0,0,0,1825,2274,1866,2607,4311,4592,1965,2331,1472,1165,925,551,42,2389.00
308,2,M341A,2004,1,48,52,13,65,52,48,67,33,2,0,25,48,13,0,0,0,1522,2609,2233,2982,4413,4472,1714,2420,1979,930,931,761,42,2253.00
309,2,M341A,2004,1,48,60,2,63,60,40,81,19,2,0,33,58,2,0,0,0,1714,1881,1681,3419,3826,4056,1884,1582,1519,923,708,643,42,2173.00
310,2,M341A,2004,1,48,60,4,65,60,40,75,25,0,0,15,58,2,0,0,0,1443,2070,1648,2987,3242,3519,1712,2487,1684,924,1269,807,42,2068.00
311,2,M341A,2004,1,48,63,0,63,63,38,88,13,2,0,15,40,0,0,0,0,1605,2456,2054,2574,4127,4440,1705,2232,1746,1014,930,673,42,2358.00
312,2,M341A,2004,1,49,10,12,22,10,90,94,6,6,0,4,4,0,0,0,100,1408,2183,1159,2234,3906,2284,1780,2149,2027,1132,945,1278,50,2045.00
313,2,M341A,2004,1,49,10,27,37,10,90,69,31,0,0,4,10,20,0,0,0,1200,1641,1312,2504,3231,2140,1666,1986,2489,999,1016,1613,50,1919.00
314,2,M341A,2004,1,49,10,47,57,10,90,69,31,0,0,2,6,45,0,0,0,1618,2040,1463,1646,3598,3067,1815,2458,1798,1315,1159,958,50,2263.00
315,2,M341A,2004,1,49,12,24,37,12,88,49,51,0,0,4,12,14,0,0,0,1324,1451,1455,2517,2704,3159,2034,2033,1805,1222,1169,961,42,2038.00
316,2,M341A,2004,1,49,16,18,35,16,84,57,43,0,0,14,14,2,0,0,0,1245,1570,1479,2452,2717,2697,1809,1819,2109,1097,1042,1213,42,2079.00
317,2,M341A,2004,1,49,16,27,43,16,84,57,43,0,0,16,16,10,0,0,0,1477,1449,1369,2011,2780,2976,2759,2360,1589,1840,1443,862,50,2120.00
318,2,M341A,2004,1,49,20,8,29,20,80,43,57,0,0,10,16,0,0,0,0,1360,1430,1308,2015,2497,2433,2859,2302,2237,1976,1396,1395,50,2050.00
